ID,Domain,Method,Endpoint,OperationId,Auth,Role,RequestSchema,SuccessResponse,ErrorResponse,Priority,Summary
PATCH-artisan-update,장인,PATCH,/api/member/artisans/me,artisan-update,YES,USER,api-member-artisans-me-1803287,200,,NORMAL,장인 프로필 수정
GET-member-subscriptions,장인 구독,GET,/api/member/artisans/subscriptions,member-subscriptions,YES,USER,-,200,401,NORMAL,구독 장인 목록
PATCH-member-notifications,장인 구독,PATCH,/api/member/artisans/subscriptions/notifications,member-notifications,YES,USER,api-member-artisans-subscriptions-notifications1775079949,200,"400,401",NORMAL,구독 알림 설정
GET-artisan-detail,장인,GET,/api/member/artisans/{artisanId},artisan-detail,YES,USER,-,200,,NORMAL,장인 상세 조회
POST-member-subscribe,장인 구독,POST,/api/member/artisans/{artisanId}/subscribe,member-subscribe,YES,USER,-,200,"404,401",NORMAL,장인 구독
DELETE-member-unsubscribe,장인 구독,DELETE,/api/member/artisans/{artisanId}/subscribe,member-unsubscribe,YES,USER,-,200,401,NORMAL,장인 구독 취소
POST-member-email-send-code,회원,POST,/api/member/email/verification-code,member-email-send-code,YES,USER,api-member-email-verification-code-1316556146,200,,CORE,이메일 인증 코드 발송
POST-member-email-verify,회원,POST,/api/member/email/verify,member-email-verify,YES,USER,api-member-email-verify1884513398,200,,CORE,이메일 인증 코드 확인
POST-member-login,회원,POST,/api/member/login,member-login,YES,USER,api-member-login-1429029385,200,401,CORE,로그인
POST-member-logout,회원,POST,/api/member/logout,member-logout,YES,USER,-,200,,CORE,로그아웃
GET-member-get-me,회원,GET,/api/member/me,member-get-me,YES,USER,-,200,401,CORE,내 정보 조회
DELETE-member-account-withdraw,회원 계정,DELETE,/api/member/me,member-account-withdraw,YES,USER,api-member-me-2097818813,200,,CORE,회원 탈퇴
PATCH-member-account-update,회원 계정,PATCH,/api/member/me,member-account-update,YES,USER,api-member-me-1000024570,200,401,CORE,프로필 수정
GET-address-list,배송지,GET,/api/member/me/addresses,address-list,YES,USER,-,200,401,NORMAL,배송지 목록 조회
POST-address-create,배송지,POST,/api/member/me/addresses,address-create,YES,USER,api-member-me-addresses1218174785,201,,NORMAL,배송지 추가
DELETE-address-delete,배송지,DELETE,/api/member/me/addresses/{addressId},address-delete,YES,USER,-,200,,NORMAL,배송지 삭제
PATCH-address-update,배송지,PATCH,/api/member/me/addresses/{addressId},address-update,YES,USER,api-member-me-addresses-addressId573369347,200,,NORMAL,배송지 수정
GET-member-order-list,주문,GET,/api/member/me/orders,member-order-list,YES,USER,-,200,"400,403",CORE,주문 목록 조회
GET-member-order-summary,주문,GET,/api/member/me/orders/summary,member-order-summary,YES,USER,-,200,403,CORE,주문 상태별 집계 조회
GET-member-order-detail,주문,GET,/api/member/me/orders/{orderId},member-order-detail,YES,USER,-,200,404,CORE,주문 상세 조회
PATCH-member-account-change-password,회원 계정,PATCH,/api/member/me/password,member-account-change-password,YES,USER,api-member-me-password-1908260178,200,,CORE,비밀번호 변경
GET-member-review-list,리뷰,GET,/api/member/me/reviews,member-review-list,YES,USER,-,200,,NORMAL,작성한 리뷰 목록
GET-member-review-writable,리뷰,GET,/api/member/me/reviews/writable,member-review-writable,YES,USER,-,200,,NORMAL,작성 가능한 리뷰 목록
GET-member-wish-list,찜,GET,/api/member/me/wishes,member-wish-list,YES,USER,-,200,403,NORMAL,찜 목록 조회
GET-member-wish-check,찜,GET,/api/member/me/wishes/{productId},member-wish-check,YES,USER,-,204,,NORMAL,찜 여부 조회
POST-oauth-complete-profile,소셜 로그인,POST,/api/member/oauth2/complete-profile,oauth-complete-profile,YES,USER,api-member-oauth2-complete-profile1234726145,201,,CORE,소셜 회원 추가정보 입력
POST-oauth-exchange,소셜 로그인,POST,/api/member/oauth2/exchange,oauth-exchange,YES,USER,-,200,,CORE,OAuth 티켓 교환
GET-oauth-kakao-redirect,소셜 로그인,GET,/api/member/oauth2/kakao,oauth-kakao-redirect,YES,USER,-,,302,CORE,카카오 로그인 리다이렉트
POST-member-signup,회원,POST,/api/member/signup,member-signup,YES,USER,api-member-signup1149432730,201,409,CORE,회원가입
POST-member-token-refresh,회원,POST,/api/member/token/refresh,member-token-refresh,YES,USER,-,200,,CORE,토큰 갱신
GET-notification-list-200,알림,GET,/api/notifications,notification-list-200,YES,USER,-,200,,NORMAL,알림 목록 조회
POST-notification-create-200,알림,POST,/api/notifications,notification-create-200,YES,USER,api-notifications728957461,201,,NORMAL,알림 생성
PATCH-notification-read-all-200,알림,PATCH,/api/notifications/read-all,notification-read-all-200,YES,USER,-,200,,NORMAL,전체 읽음 처리
GET-notification-stream-200,알림,GET,/api/notifications/stream,notification-stream-200,YES,USER,-,200,,NORMAL,SSE 실시간 알림 구독
GET-notification-unread-count-200,알림,GET,/api/notifications/unread-count,notification-unread-count-200,YES,USER,-,200,,NORMAL,읽지 않은 알림 수 조회
GET-notification-get-one-,알림,GET,/api/notifications/{notificationId},notification-get-one-,YES,USER,-,200,"404,403",NORMAL,알림 단건 조회
DELETE-notification-delete-,알림,DELETE,/api/notifications/{notificationId},notification-delete-,YES,USER,-,200,422,NORMAL,알림 삭제
PATCH-notification-read-,알림,PATCH,/api/notifications/{notificationId}/read,notification-read-,YES,USER,-,200,"422,404",NORMAL,알림 읽음 처리
POST-payment-prepare,결제,POST,/api/payments,payment-prepare,YES,USER,api-payments999605347,201,,CORE,결제 준비
GET-cart-get,장바구니,GET,/api/payments/cart,cart-get,YES,USER,-,200,,CORE,장바구니 조회
POST-cart-add-item,장바구니,POST,/api/payments/cart/items,cart-add-item,YES,USER,api-payments-cart-items166605304,201,,CORE,장바구니 상품 추가
DELETE-cart-delete-all,장바구니,DELETE,/api/payments/cart/items,cart-delete-all,YES,USER,-,200,,CORE,장바구니 전체 비우기
DELETE-cart-delete-item,장바구니,DELETE,/api/payments/cart/items/{cartItemId},cart-delete-item,YES,USER,-,200,,CORE,장바구니 항목 삭제
PATCH-cart-change-quantity,장바구니,PATCH,/api/payments/cart/items/{cartItemId},cart-change-quantity,YES,USER,api-payments-cart-items-cartItemId84680242,200,,CORE,장바구니 수량 변경
PATCH-cart-change-options,장바구니,PATCH,/api/payments/cart/items/{cartItemId}/options,cart-change-options,YES,USER,api-payments-cart-items-cartItemId-options1768829739,200,,CORE,장바구니 옵션 변경
POST-cart-merge,장바구니,POST,/api/payments/cart/merge,cart-merge,YES,USER,-,200,401,CORE,게스트 장바구니 병합
POST-payment-confirm,결제,POST,/api/payments/confirm,payment-confirm,YES,USER,api-payments-confirm-12221918,200,,CORE,결제 승인
POST-payment-fail,결제,POST,/api/payments/fail,payment-fail,YES,USER,api-payments-fail-966144645,200,,CORE,결제 실패 처리
GET-payment-methods-list,결제수단,GET,/api/payments/methods,payment-methods-list,YES,USER,-,200,401,CORE,결제수단 목록 조회
POST-payment-methods-register,결제수단,POST,/api/payments/methods,payment-methods-register,YES,USER,api-payments-methods1001892655,201,,CORE,결제수단 등록
DELETE-payment-methods-delete,결제수단,DELETE,/api/payments/methods/{paymentMethodId},payment-methods-delete,YES,USER,-,200,,CORE,결제수단 삭제
POST-orders-create,주문,POST,/api/payments/orders,orders-create,YES,USER,api-payments-orders391339881,201,,CORE,주문 생성
POST-order-cancel-before-payment,주문,POST,/api/payments/orders/{orderId}/cancel,order-cancel-before-payment,YES,USER,-,200,,CORE,결제 대기 주문 취소
GET-delivery-get,배송,GET,/api/payments/orders/{orderId}/delivery,delivery-get,YES,USER,-,200,,NORMAL,배송 조회
POST-order-purchase-confirmation,주문,POST,/api/payments/orders/{orderId}/purchase-confirmation,order-purchase-confirmation,YES,USER,-,200,,CORE,구매 확정
PATCH-order-change-shipping-address,주문,PATCH,/api/payments/orders/{orderId}/shipping-address,order-change-shipping-address,YES,USER,api-payments-orders-orderId-shipping-address1663523072,200,,CORE,주문 배송지 변경
POST-payment-refund-account-register,결제수단,POST,/api/payments/refund-account,payment-refund-account-register,YES,USER,api-payments-refund-account-1562392385,201,,CORE,환불계좌 등록
POST-returns-request,반품/교환,POST,/api/payments/returns,returns-request,YES,USER,api-payments-returns-1811511568,201,,NORMAL,반품·교환 신청
POST-payment-webhook-toss,결제,POST,/api/payments/webhooks/toss,payment-webhook-toss,YES,USER,api-payments-webhooks-toss2067222078,200,,CORE,토스페이먼츠 웹훅 수신
POST-payment-cancel,결제,POST,/api/payments/{paymentId}/cancel,payment-cancel,YES,USER,api-payments-paymentId-cancel813387520,200,,CORE,결제 취소
GET-product-list,상품,GET,/api/products,product-list,NO,PUBLIC,-,200,,CORE,상품 목록
POST-product-create,상품,POST,/api/products,product-create,YES,ARTISAN,api-products-467839916,201,"401,403",CORE,상품 등록
GET-category-list,카테고리,GET,/api/products/categories,category-list,NO,PUBLIC,-,200,,NORMAL,카테고리 목록
GET-category-main-list,카테고리,GET,/api/products/categories/main,category-main-list,NO,PUBLIC,-,200,,NORMAL,메인 카테고리 목록
GET-material-list,카테고리,GET,/api/products/materials,material-list,NO,PUBLIC,-,200,,NORMAL,소재 목록
GET-product-my-list,상품,GET,/api/products/me,product-my-list,YES,ARTISAN,-,200,,CORE,내 상품 목록 (장인)
GET-subcategory-list,카테고리,GET,/api/products/subcategories,subcategory-list,NO,PUBLIC,-,200,,NORMAL,서브카테고리 목록
GET-product-detail,상품,GET,/api/products/{productId},product-detail,NO,PUBLIC,-,200,,CORE,상품 상세
DELETE-product-delete,상품,DELETE,/api/products/{productId},product-delete,YES,ARTISAN,-,200,,CORE,상품 삭제
PATCH-product-update,상품,PATCH,/api/products/{productId},product-update,YES,ARTISAN,api-products-productId1043441099,200,,CORE,상품 수정
GET-product-qna-list,상품 문의,GET,/api/products/{productId}/questions,product-qna-list,NO,PUBLIC,-,200,,NORMAL,상품 문의 목록
POST-product-qna-ask,상품 문의,POST,/api/products/{productId}/questions,product-qna-ask,YES,USER,api-products-productId-questions1139736559,201,,NORMAL,상품 문의 등록
POST-product-qna-answer,상품 문의,POST,/api/products/{productId}/questions/{questionId}/answer,product-qna-answer,YES,ARTISAN,api-products-productId-questions-questionId-answer1678412256,201,,NORMAL,문의 답변 등록
GET-product-review-list,상품 후기,GET,/api/products/{productId}/reviews,product-review-list,NO,PUBLIC,-,200,,NORMAL,상품 후기 목록
POST-product-review-write,상품 후기,POST,/api/products/{productId}/reviews,product-review-write,YES,USER,api-products-productId-reviews-994178327,201,,NORMAL,상품 후기 등록
PATCH-product-change-status,상품,PATCH,/api/products/{productId}/status,product-change-status,YES,ARTISAN,api-products-productId-status-2050486651,200,401,CORE,상품 상태 변경
POST-product-wish,찜,POST,/api/products/{productId}/wish,product-wish,YES,USER,-,200,"403,401",NORMAL,찜 등록
DELETE-product-unwish,찜,DELETE,/api/products/{productId}/wish,product-unwish,YES,USER,-,200,,NORMAL,찜 취소
POST-ai-callback-complete-multipart,AI 콜백 (내부),POST,/internal/generations/{generationId}/completion,ai-callback-complete-multipart,YES,USER,-,200,,NORMAL,AI 생성 완료 콜백
POST-image-internal-verify,이미지,POST,/internal/images/verify,image-internal-verify,YES,USER,internal-images-verify-211043086,200,404,NORMAL,이미지 검증 (내부)
